2022-03-03 00:17:53.345202|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-03-03 00:17:53.345481|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-1160.53.1.el7.x86_64 #1 SMP Fri Jan 14 13:59:45 UTC 2022 x86_64 Binary: 64bit
2022-03-03 00:17:53.345517|INFO    |ServerLibPriv |   |Using hardware aes
2022-03-03 00:17:53.357181|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-03-03 00:17:53.357252|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-03-03 00:17:53.361509|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-03-03 00:17:53.431559|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-03-03 00:17:53.431825|INFO    |Accounting    |   |Licensing Information
2022-03-03 00:17:53.431855|INFO    |Accounting    |   |licensed to       : Anonymous
2022-03-03 00:17:53.431869|INFO    |Accounting    |   |type              : No License
2022-03-03 00:17:53.431887|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2022-03-03 00:17:53.431900|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2022-03-03 00:17:53.431913|INFO    |Accounting    |   |max virtualservers: 1
2022-03-03 00:17:53.431925|INFO    |Accounting    |   |max slots         : 32
2022-03-03 00:17:54.136744|INFO    |              |   |Puzzle precompute time: 682
2022-03-03 00:17:54.137712|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2022-03-03 00:17:54.137915|INFO    |VirtualSvrMgr |   |executing monthly interval
2022-03-03 00:17:54.138968|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2022-03-03 00:17:54.176421|INFO    |Query         |   |Using a query thread pool size of 2
2022-03-03 00:17:54.228304|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2022-03-03 00:17:54.228617|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2022-03-03 00:17:54.228713|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2022-03-03 00:17:54.229278|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2022-03-03 00:17:54.229322|WARNING |ServerMain    |   |Unknown command line parameter 'st', ignoring
2022-03-03 00:17:55.593770|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-03-03 00:22:54.258709|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 00:22:54.258980|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 00:22:56.063035|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 00:22:56.063104|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 00:22:58.067475|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 00:22:58.067542|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 00:32:54.330470|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 00:32:54.330677|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 00:32:56.036098|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 00:32:56.036179|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 00:32:58.041303|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 00:32:58.041408|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 00:42:54.407182|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 00:42:54.407441|ERROR   |              |   |TS3ANetwork::Send failed error: 111
